"name";"short_name";"address";"signature";"status";"type";"electoral_plenipotentiary";"financial_plenipotentiary";"range";"teryt"
"KOMITET WYBORCZY WYBORCÓW ROBERTA ŁADY";"KWW ROBERTA ŁADY";"ul. Łomżyńska 17, Wygoda, 18-400 Łomża";"DLM-7503-21/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Magdalena Łada";"Magdalena Łada";"gm. Łomża";"200702"
"KOMITET WYBORCZY WYBORCÓW ROBERTA MARKA RELICHA";"KWW ROBERTA MARKA RELICHA";"Gierałtów 283, 59-730 Nowogrodziec";"DJG-7503-5/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisław Andruchów";"Stanisław Andruchów";"gm. Nowogrodziec";"020104"
"KOMITET WYBORCZY WYBORCÓW ROBERTA MATYSIAKA";"KWW ROBERTA MATYSIAKA";"Strzelce 84, 24-150, Nałęczów";"DLB-7503-288/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Agnieszka Stanisława Czarnecka";"Agnieszka Stanisława Czarnecka";"gm. Nałęczów";"061408"
"KOMITET WYBORCZY WYBORCÓW ROBERTA MIKŁASZEWSKIEGO";"KWW ROBERTA MIKŁASZEWSKIEGO";"59-600 Lwówek Śl., ul. Krótka 3A/9";"DJG-7503-37/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mariusz Bieniasz";"Mariusz Bieniasz";"gm. Lwówek Śląski";"021203"
"KOMITET WYBORCZY WYBORCÓW ROBERTA RABENDY ""WSPÓLNIE DO SUKCESÓW""";"KWW RR ""WSPÓLNIE DO SUKCESÓW""";"UL. POŁUDNIOWA 10, 98-320 OSJAKÓW";"DSR-7503-177/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"HENRYKA ANNA MESJASZ";"HENRYKA ANNA MESJASZ";"gm. Osjaków";"101705"
"KOMITET WYBORCZY WYBORCÓW ROBERTA ROGUSKIEGO";"KWW ROBERTA ROGUSKIEGO";"ul. Napoleona 4, 05-230 Kobyłka";"DWW-75031-55/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dariusz Choromański";"Dariusz Choromański";"m. Kobyłka";"143401"
"KOMITET WYBORCZY WYBORCÓW ROBERTA SAWIARSKIEGO";"KWW ROBERTA SAWIARSKIEGO";"Opolska 10/8, 24-340, Józefów nad Wisła";"DLB-7503-14/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Waldemar Olszewski";"Waldemar Olszewski";"gm. Józefów nad Wisłą";"061202"
"KOMITET WYBORCZY WYBORCÓW ROBERTA SAWIDZKIEGO";"KWW ROBERTA SAWIDZKIEGO";"ul. Główna 81, Janówka, 95-020 Andrespol";"DŁD-7503-122/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mirosława Sawidzka";"Mirosława Sawidzka";"gm. Andrespol";"100602"
"KOMITET WYBORCZY WYBORCÓW ROBERTA WYTRYKOWSKIEGO";"KWW ROBERTA WYTRYKOWSKIEGO";"ul. Racławicka 81, 05-240 Tłuszcz";"DWW-75031-250/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Zdzisław Bednarczyk";"Zdzisław Bednarczyk";"gm. Tłuszcz";"143411"
"KOMITET WYBORCZY WYBORCÓW ROBERTA ZACIERY";"KWW ROBERTA ZACIERY";"ul. Mickiewicza 139c, 42-450 Chruszczobród";"DCZ-7503-39/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aneta Katarzyna Ussorowska";"Aneta Katarzyna Ussorowska";"gm. Łazy";"241605"
"KOMITET WYBORCZY WYBORCÓW ROBERTA ZAJĘCKIEGO";"KWW ROBERTA ZAJĘCKIEGO";"ul. Osiedle 1/34, 28-366 Małogoszcz";"DKC1-7503-333/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Radosław Marian Morąg";"Radosław Marian Morąg";"gm. Małogoszcz";"260203"
"KOMITET WYBORCZY WYBORCÓW ROBERTA ZIEMKIEWICZA";"KWW ROBERTA ZIEMKIEWICZA";"ul. Karwowska 48, 19-213 Radziłów";"DLM-7503-23/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Emilia Ziemkiewicz";"Emilia Ziemkiewicz";"gm. Radziłów";"200403"
"KOMITET WYBORCZY WYBORCÓW ROBERT GAJEWSKI";"KWW ROBERT GAJEWSKI";"ul. Polna 17, 06-450 Glinojeck";"DCI-7503-86/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Malwina Lazarska";"Malwina Lazarska";"gm. Glinojeck";"140203"
"KOMITET WYBORCZY WYBORCÓW ROBERT KOCOŁ";"KWW ROBERT KOCOŁ";"ul. Agrestowa 18, 43-340, Kozy";"DBB-7503-54/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Adam Kocoł";"Robert Adam Kocoł";"gm. Kozy";"240207"
"KOMITET WYBORCZY WYBORCÓW ROBERT KOWAL";"KWW ROBERT KOWAL";"Zdrojowa 26/2, 57-340 Duszniki Zdrój";"DWB-7503-132/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Kowal";"Robert Kowal";"m. Duszniki-Zdrój";"020801"
"KOMITET WYBORCZY WYBORCÓW ROBERT MACIEJ SYNDOMAN";"KWW R.M.S.";"ul. Sowińskiego 15,  05-850 Ożarów Mazowiecki";"DWW-75031-50/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Kinga Jolanta Syndoman";"Kinga Jolanta Syndoman";"gm. Ożarów Mazowiecki";"143206"
"KOMITET WYBORCZY WYBORCÓW ROBERT MARCZAK";"KWW ROBERT MARCZAK";"ul. Spacerowa 15, 05-850 Ożarów Mazowiecki";"DWW-75031-99/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Jerzy Marczak";"Robert Jerzy Marczak";"gm. Ożarów Mazowiecki";"143206"
"KOMITET WYBORCZY WYBORCÓW ROBERT MECHA - ZGODA I POJEDNANIE";"KWW ROBERT MECHA - ZGODA I POJEDNANIE";"ul. Wł. Jagiełły 38a, 77 - 430 Krajenka";"DPI-7503-II-14/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dorota Banaś";"Dorota Banaś";"gm. Krajenka";"303103"
"KOMITET WYBORCZY WYBORCÓW ROBERT NIEKŁAŃ";"KWW ROBERT NIEKŁAŃ";"58-540 Karpacz, ul. Karkonoska 5/13";"DJG-7503-147/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Józef Niekłań";"Robert Józef Niekłań";"m. Karpacz";"020601"
"KOMITET WYBORCZY WYBORCÓW ROBERT RACZYŃSKI LUBIN 2006";"KWW ROBERT RACZYŃSKI LUBIN 2006";"ul. Marii Curie-Skłodowskiej 14, 59-300 Lubin";"DLG-7503-10/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Tymoteusz Dominik Myrda";"Edward Siwak";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW ROBERT SZCZEPANIAK";"KWW ROBERT SZCZEPANIAK";"Sipiory-Czterdziestka 20, 89-240 Kcynia";"DBD-7503-230/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Natalia Barbara Szynakiewicz";"Natalia Barbara Szynakiewicz";"gm. Kcynia";"041001"
"KOMITET WYBORCZY WYBORCÓW ROBERT SZCZUDLAK";"KWW ROBERT SZCZUDLAK";"ul. Leśna 16, 44-177, Paniówki gm. Gierałtowice";"DKT-7503-266/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Henryk Szczudlak";"Robert Henryk Szczudlak";"gm. Gierałtowice";"240503"
"KOMITET WYBORCZY WYBORCÓW ROBERT WOELKI";"KWW ROBERT WOELKI";"Kruzy 34, 11-311, Kolno";"DOL-7503-230/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Robert Woelki";"Robert Woelki";"gm. Kolno";"281408"
"KOMITET WYBORCZY WYBORCÓW ""RODZICE""";"KWW ""RODZICE""";"ul. 1 Maja 19 m. 7, Wiśniowa Góra, 95-020 Andrespol";"DŁD-7503-148/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marcin Karol Szymanowski";"Marcin Karol Szymanowski";"gm. Andrespol";"100602"
"KOMITET WYBORCZY WYBORCÓW RODZINA";"KWW RODZINA";"ul. Willowa 14, 57-340 Duszniki-Zdrój";"DWB-7503-178/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Wiesława Zagaja";"Wiesława Zagaja";"m. Duszniki-Zdrój";"020801"
"KOMITET WYBORCZY WYBORCÓW RODZINA";"KWW RODZINA";"MAZOWIECKA 16/1   14-310 MIŁAKOWO";"DEL-7503-140/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"STANISŁAW BOGDAN WICIŃSKI";"STANISŁAW BOGDAN WICIŃSKI";"gm. Miłakowo";"281506"
"KOMITET WYBORCZY WYBORCÓW ""RODZINA""";"KWW ""RODZINA""";"ul. Cieszkowskiego 12d, 76-100, Sławno";"DKS-7503-141/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jan Sroka";"Jan Sroka";"m. Sławno";"321302"
"KOMITET WYBORCZY WYBORCÓW ""RODZINA""";"KWW ""RODZINA""";"ul. Przyszłość 7, 09-210 Drobin";"DPŁ.7503-136/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mateusz Marcin Kanigowski";"Mateusz Marcin Kanigowski";"gm. Drobin";"141905"
"KOMITET WYBORCZY WYBORCÓW ""RODZINA""";"KWW ""RODZINA""";"ul. Młodzieżowa 14, 06-425 Karniewo";"DOS-7503-132/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Izabela Zając";"Izabela Zając";"gm. Karniewo";"141103"
"KOMITET WYBORCZY WYBORCÓW RODZINA-GMINA-OJCZYZNA";"KWW RODZINA-GMINA-OJCZYZNA";"Bronków 44, 66-627 Bobrowice";"DZG-7503-45/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Janina Sobska";"Janina Sobska";"gm. Bobrowice";"080202"
"KOMITET WYBORCZY WYBORCÓW RODZINA 2010";"KWW RODZINA 2010";"58-400 Kamienna Góra, ul. Fornalskiej 23/1";"DJG-7503-179/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Rafał Krzysztof Kruczek";"Łukasz Józef Kruczek";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA I BEZPIECZEŃSTWO";"KWW RODZINA I BEZPIECZEŃSTWO";"ul. Mikołaja Kopernika 103, 33-200 Dąbrowa Tarnowska";"DTA-7503-192/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Rafał Damian Głowacz";"Celina Monika Sierak";"woj. małopolskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA I PRAWO";"KWW RODZINA I PRAWO";"Ul. Niepodległości 13, 21-040 Świdnik";"DLB-7503-59/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Roman Kozak";"Jerzy Koperski";"woj. lubelskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA I SPORT";"KWW RODZINA I SPORT";"ul. Kościelna 1A, 23-450 Goraj";"DZM-7503-141/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dariusz Jamroży";"Dariusz Jamroży";"gm. Goraj";"060206"
"KOMITET WYBORCZY WYBORCÓW RODZINA KARKONOSKA";"KWW RODZINA KARKONOSKA";"Moniuszki 5/18, 58-506 Jelenia Góra";"DJG-7503-16/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Józef Rypiński";"Janina Maria Pacyga";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA KRZYŻOWSKA 2010";"KWW RODZINA KRZYŻOWSKA 2010";"ul. Mickiewicza 61/4, 64 - 761 Krzyż Wlkp.";"DPI-7503-II-31/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Janusz Kozioł";"Janusz Kozioł";"gm. Krzyż Wielkopolski";"300204"
"KOMITET WYBORCZY WYBORCÓW RODZINA POWIATOWA";"KWW RODZINA POWIATOWA";"Mały Rudnik 73a, 86-302 Grudziądz";"DTR-7503-52/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Ryszard Poznański";"Włodzimierz Wojciech Rusak";"woj. kujawsko-pomorskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA PRACA OJCZYZNA";"KWW RODZINA PRACA OJCZYZNA";"Parkowa 5/5, 58-340 Głuszyca";"DWB-7503-86/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Paweł Pakowski";"Paweł Pakowski";"gm. Głuszyca";"022105"
"KOMITET WYBORCZY WYBORCÓW RODZINA PRAWO WSPÓLNOTA";"KWW RODZINA PRAWO WSPÓLNOTA";"ul. Legionów 46, 43-502, Czechowice-Dziedzice";"DBB-7503-206/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Andrzej Antoni Płonka";"Małgorzata Janusz";"woj. śląskie";""
"KOMITET WYBORCZY WYBORCÓW ""RODZINA RUDZKA""";"KWW ""RODZINA RUDZKA""";"ul. Oddziałów Młodzieży Powstańczej 5, 41-707, Ruda Śląska";"DKT-7503-171/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Andrzej Jan Malisz";"Judyta Anna Kuźnia";"woj. śląskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINA TRADYCJA ROZWÓJ";"KWW RODZINA TRADYCJA ROZWÓJ";"ul. Lipowa 14, 46-070 Chmielowice";"DOP1-7503-8/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dariusz Zygmunt Szypulski";"Dariusz Zygmunt Szypulski";"gm. Komprachcice";"160904"
"KOMITET WYBORCZY WYBORCÓW ""RODZINA WSPÓLNE DOBRO""";"KWW ""RODZINA WSPÓLNE DOBRO""";"Dąbrowno 97, 42-320 Dąbrowno";"DCZ-7503-231/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Ewa Urszula Szewczyk";"Ewa Urszula Szewczyk";"gm. Niegowa";"240903"
"KOMITET WYBORCZY WYBORCÓW RODZINA - PRACA";"KWW RODZINA - PRACA";"ul. Ogrodowa 43/4, 87-603 Wielgie";"DWL-7503-19/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Małgorzata Guzowska";"Małgorzata Guzowska";"gm. Wielgie";"040809"
"KOMITET WYBORCZY WYBORCÓW RODZINNA GMINA";"KWW RODZINNA GMINA";"Augustów 26 a, 26-624 Kowala";"DRD-7503/253/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Joanna Orzechowska";"Joanna Orzechowska";"gm. Kowala";"142507"
"KOMITET WYBORCZY WYBORCÓW RODZINY KATOLICKIE RAZEM W LUBANIU";"KWW RODZINY KATOLICKIE RAZEM W LUBANIU";"59-800 Lubań, ul. Ratuszowa 9/54";"DJG-7503-105/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Mieczysław Iwanow";"Ryszard Jastrzębski";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW RODZINY KLARA";"KWW RODZINY KLARA";"Pl. Reszki 17, 64-320, Buk";"DPZ-7503-I-145/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Latowski";"Łukasz Latowski";"gm. Buk";"302103"
"KOMITET WYBORCZY WYBORCÓW ""ROGĄDA"" ROBAKOWO GĄDKI DACHOWA";"KWW ""ROGĄDA""";"ul. Szkolna 20, 62-023, Robakowo";"DPZ-7503-I-142/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Tadeusz Olejniczak";"Tadeusz Olejniczak";"gm. Kórnik";"302109"
"KOMITET WYBORCZY WYBORCÓW ""ROGOWO NASZA GMINA""";"KWW ""ROGOWO NASZA GMINA""";"Grochowiska Księże 34, 88-420 Rogowo";"DBD-7503-124/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Maciej Zabłocki";"Maciej Zabłocki";"gm. Rogowo";"041905"
"KOMITET WYBORCZY WYBORCÓW ROKICINY NASZA OJCZYZNA";"KWW ROKICINY NASZA OJCZYZNA";"Łaznów 83, 97-221 Rokiciny";"DPT-7503-92/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bożena Helena Kiełbasa";"Bożena Helena Kiełbasa";"gm. Rokiciny";"101607"
"KOMITET WYBORCZY WYBORCÓW ROKOSZ - CHOJNACKI";"KWW ROKOSZ - CHOJNACKI";"ul. Węgorzyńska 12, 73-150, Łobez";"DSZ-7503-136/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Halina Teresa Chojnacka";"Halina Teresa Chojnacka";"gm. Łobez";"321802"
"KOMITET WYBORCZY WYBORCÓW ""ROLCZAK""";"KWW ""ROLCZAK""";"ul. Lecha 7B, 89-340 Białośliwie";"DPI-7503-II-59/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anna Podemska";"Anna Podemska";"gm. Białośliwie";"301902"
"KOMITET WYBORCZY WYBORCÓW ROLNICY RAZEM";"KWW ROLNICY RAZEM";"Turówka Stara 7, 16-400 Suwałki";"DSW-7503-17-114/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Tadeusz Walendziewicz";"Tadeusz Walendziewicz";"gm. Suwałki";"201207"
"KOMITET WYBORCZY WYBORCÓW ROLNICZA INICJATYWA SAMORZĄDOWA";"KWW RIS";"Klizin 18, 97-512 Kodrąb";"DPT-7503-7/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Tomasz Baliński";"Tomasz Baliński";"gm. Kodrąb";"101207"
"KOMITET WYBORCZY WYBORCÓW ROLNICZE RODZINY DLA POLSKI";"KWW ROLNICZE RODZINY DLA POLSKI";"Feliksów 25B, 26-333 Paradyż";"DPT-7503-248/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Jan Krzysztof Telus";"Monika Anna Dębowska";"woj. łódzkie";""
"KOMITET WYBORCZY WYBORCÓW ROLNICZY KOMITET WYBORCZY";"KWW ROLNICZY KOMITET WYBORCZY";"ul. Wąska 15, 22-420 Skierbieszów";"DZM-7503-51/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mieczysław Mazur";"Mieczysław Mazur";"gm. Skierbieszów";"062010"
"KOMITET WYBORCZY WYBORCÓW ROLNIK";"KWW ROLNIK";"Wólka Pełkińska 80, 37-511  Wólka Pełkińska";"DPR-7503-47/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Kacper Krzysztof Pelc";"Kacper Krzysztof Pelc";"gm. Jarosław";"180404"
"KOMITET WYBORCZY WYBORCÓW ""ROLNIK""";"KWW ""ROLNIK""";"ul. Długa 35, 47-460, Zabełków gm.  Krzyżanowice";"DKT-7503-139/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Alojzy Wincenty Przybyła";"Alojzy Wincenty Przybyła";"gm. Krzyżanowice";"241104"
"KOMITET WYBORCZY WYBORCÓW ""ROLNIK""";"KWW ""ROLNIK""";"ul. Pogórze 44, 33-180 Gromnik";"DTA-7503-39/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzysztof Pruchnicki";"Krzysztof Pruchnicki";"gm. Gromnik";"121602"
"KOMITET WYBORCZY WYBORCÓW ROLNIKÓW W STOPNICY";"KWW ROLNIKÓW W STOPNICY";"Klępie Górne 86, 28-220 Stopnica";"DKC2-7503-87/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jarosław Wiesław Kuźnia";"Jarosław Wiesław Kuźnia";"gm. Stopnica";"260106"
"KOMITET WYBORCZY WYBORCÓW ROMAN";"KWW ROMAN";"PRZEMYSŁOWA 12/3 14-500 BRANIEWO";"DEL-7503-258/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"JADWIGA IWONA BOJDO";"JADWIGA IWONA BOJDO";"gm. Braniewo";"280202"
"KOMITET WYBORCZY WYBORCÓW ROMANA APOLINARSKIEGO";"KWW ROMANA APOLINARSKIEGO";"ul. Ogrodowa 6, 64-030 Śmigiel";"DLS-7503-101/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Grzegorz Pieśniak";"Grzegorz Pieśniak";"gm. Śmigiel";"301105"
"KOMITET WYBORCZY WYBORCÓW ROMANA ASYNGERA";"KWW ROMANA ASYNGERA";"Jana Kochanowskiego 67/7, 58-150 Strzegom";"DWB-7503-146/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Paweł Mariusz Rudnicki";"Tadeusz Ragan";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW ROMANA BEDNARKA";"KWW ROMANA BEDNARKA";"ul. Koniecpolskiego 18A, 97-438, Rusiec";"DPT-7503-157/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Roman Bednarek";"Roman Bednarek";"gm. Rusiec";"100106"
"KOMITET WYBORCZY WYBORCÓW ROMANA BEDNARKA";"KWW ROMAN BEDNAREK";"ul. Piotrkowska 1, 62-610 Sompolno";"DKN-7503-39/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Daniel Bednarek";"Daniel Bednarek";"gm. Sompolno";"301010"
"KOMITET WYBORCZY WYBORCÓW ROMANA BUREK";"KWW RB";"Krzemienica 153, 39-307 Gawłuszowice";"DTG-7503-70/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Kwaśnik-Burek";"Barbara Kwaśnik-Burek";"gm. Gawłuszowice";"181104"
"KOMITET WYBORCZY WYBORCÓW ROMANA CZACHOWSKIEGO";"KWW ROMANA CZACHOWSKIEGO";"Osiek 46, 87-340 Osiek";"DTR-7503-41/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bartosz Kamil Biliński";"Bartosz Kamil Biliński";"gm. Osiek";"040208"
"KOMITET WYBORCZY WYBORCÓW ROMANA DROZDKA";"KWW ROMANA DROZDKA";"Piekary 42, 97-371 Wola Krzysztoporska";"DPT-7503-47/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzysztof Michał Głowacki";"Krzysztof Michał Głowacki";"gm. Wola Krzysztoporska";"101010"
"KOMITET WYBORCZY WYBORCÓW ROMANA DUDY";"KWW ROMANA DUDY";"Henrykowo 2, 64-100 Leszno";"DLS-7503-69/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Lucyna Jurgawka";"Lucyna Jurgawka";"gm. Święciechowa";"301305"
"KOMITET WYBORCZY WYBORCÓW ROMANA DUDZIAKA";"KWW ROMANA DUDZIAKA";"Komarów-Osada, ul. Rynek 27, 22-435 Komarów Osada";"DZM-7503-199/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Roman Dudziak";"Monika Anna Dudziak";"woj. lubelskie";""
"KOMITET WYBORCZY WYBORCÓW ROMANA FORNALSKIEGO";"KWW ROMANA FORNALSKIEGO";"Łopiennik Dolny Kolonia 124B, 22-351 Łopiennik Górny";"DCH-7503-9/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Roman Fornalski";"Roman Fornalski";"gm. Łopiennik Górny";"060607"
"KOMITET WYBORCZY WYBORCÓW ROMANA GĄSKI";"KWW ROMANA GĄSKI";"Jeldzino 23, 84-110, Jeldzino, gm. Krokowa";"DGD-75031-194/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bogusława Agnieszka Gąska-Dzióbek";"Bogusława Agnieszka Gąska-Dzióbek";"gm. Krokowa";"221106"
"KOMITET WYBORCZY WYBORCÓW ROMANA GOREK";"KWW  ROMANA GOREK";"ul. Zawadzkiego 1, 46-090 Stare Kolnie";"DOP1-7503-97/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Ilona Julia Gorek-Borkowska";"Ilona Julia Gorek-Borkowska";"gm. Popielów";"160909"
"KOMITET WYBORCZY WYBORCÓW ROMANA JANUCHOWSKIEGO";"KWW ROMANA JANUCHOWSKIEGO";"Zgierzynka 5, 64-310 Lwówek";"DLS-7503-160/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krystyna Januchowska";"Krystyna Januchowska";"gm. Lwówek";"301502"
"KOMITET WYBORCZY WYBORCÓW ROMANA JĘDRUSIKA";"KWW ROMANA JĘDRUSIKA";"58-424 Pisarzowice, Pisarzowice 117";"DJG-7503-121/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzysztof Tomasz Jędrusiak";"Krzysztof Tomasz Jędrusiak";"gm. Kamienna Góra";"020702"
"KOMITET WYBORCZY WYBORCÓW ROMANA KANDZIORY";"KWW ROMANA KANDZIORY";"Rudolfin 13, 22-113 Kamień";"DCH-7503-16/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Paweł Kandziora";"Paweł Kandziora";"gm. Kamień";"060306"
"KOMITET WYBORCZY WYBORCÓW ROMANA KOWALSKIEGO ""JEDNOŚĆ""";"KWW ROMANA KOWALSKIEGO ""JEDNOŚĆ""";"Chocianowiec 84, 59-140 Chocianów";"DLG-7503-23/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marianna Stefania Kowalska";"Marianna Stefania Kowalska";"gm. Chocianów";"021601"
"KOMITET WYBORCZY WYBORCÓW ROMANA KULCZYCKIEGO";"KWW ROMANA KULCZYCKIEGO";"Sikorskiego 10A, 59-600 Lwówek Śląski";"DJG-7503-13/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Teresa Tekla Kret";"Teresa Tekla Kret";"gm. Lwówek Śląski";"021203"
"KOMITET WYBORCZY WYBORCÓW ROMANA LEWICKIEGO";"KWW ROMANA LEWICKIEGO";"ul. Kopernika 15, 64-113  Osieczna";"DLS-7503-75/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Leon Bielski";"Leon Bielski";"gm. Osieczna";"301303"
"KOMITET WYBORCZY WYBORCÓW ROMANA ŁUKI";"KWW  ROMANA ŁUKI";"ul. 22 Stycznia 16B/2,  89-300 Wyrzysk";"DPI-7503-II-120/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Roman Łuka";"Roman Łuka";"gm. Wyrzysk";"301908"
